"StudyID"	"Reference"	"Journal"	"PublicationYear"	"DOI"
"StudyID_17"	"Bianchi et al. 2001"	"SOUTH AFRICAN JOURNAL OF MARINE SCIENCE-SUID-AFRIKAANSE TYDSKRIF VIR SEEWETENSKAP"	2001	"10.2989/025776101784528737"
"StudyID_18"	"Zimmer et al. 2001"	"FRESHWATER BIOLOGY"	2001	"10.1046/j.1365-2427.2001.00759.x"
"StudyID_19"	"Macphserson et al. 2002"	"ESTUARINE, COASTAL AND SHELF SCIENCE"	2002	"10.1006/ecss.2001.0939"
"StudyID_20"	"Patoine et al. 2002"	"JOURNAL OF PLANKTON RESEARCH"	2002	"10.1093/plankt/24.6.601"
"StudyID_21"	"Pérez-Ruzafa et al. 2002"	"HYDROBIOLOGIA"	2002	"10.1023/A:1020343510060"
"StudyID_22"	"deBruyn et al. 2002"	"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES"	2002	"10.1139/F02-056"
"StudyID_23"	"Piontkovski et al. 2003"	"JOURNAL OF PLANKTON RESEARCH"	2003	"10.1093/plankt/25.9.1021"
"StudyID_24"	"Vanaverbeke et al. 2003"	"MARINE ECOLOGY PROGRESS SERIES"	2003	"10.3354/meps249157"
"StudyID_25"	"Quinones et al. 2003"	"PROGRESS IN OCEANOGRAPHY"	2003	"10.1016/S0079-6611(03)00108-3"
"StudyID_26"	"Gaedke et al. 2004"	"INTERNATIONAL REVIEW OF HYDROBIOLOGY"	2004	"10.1002/iroh.200310661"
"StudyID_27"	"Pagola-Carte 2004"	"HYDROBIOLOGIA"	2004	"10.1023/B:HYDR.0000043199.12496.2d"
"StudyID_28"	"Dinmore and Jennings 2004"	"MARINE ECOLOGY PROGRESS SERIES"	2004	"10.3354/meps276289"
"StudyID_29"	"Blanchard et al. 2004"	"MARINE ECOLOGY PROGRESS SERIES"	2004	"10.3354/meps280249"
"StudyID_30"	"Graham et al. 2005"	"CORAL REEFS"	2005	"10.1007/s00338-004-0466-y"
"StudyID_31"	"Xu and Jin 2005"	"FISHERIES RESEARCH"	2005	"10.1016/j.fishres.2004.07.011"
"StudyID_32"	"Blanchard et al. 2005"	"ICES JOURNAL OF MARINE SCIENCE"	2005	"10.1016/j.icesjms.2005.01.006"
"StudyID_33"	"Suthers et al. 2006"	"MARINE ECOLOGY PROGRESS SERIES"	2006	"10.3354/meps322225"
"StudyID_34"	"Sellanes et al. 2007"	"CONTINENTAL SHELF RESEARCH"	2007	"10.1016/j.csr.2007.01.001"
"StudyID_35"	"Sweeting et al. 2009"	"ICES JOURNAL OF MARINE SCIENCE"	2009	"10.1093/icesjms/fsn203"
"StudyID_36"	"Manríquez et al. 2009"	"JOURNAL OF PLANKTON RESEARCH"	2009	"10.1093/plankt/fbp053"
"StudyID_37"	"Kantoussan et al. 2009"	"AQUATIC ECOLOGY"	2009	"10.1007/s10452-009-9236-9"
"StudyID_38"	"Jiang et al. 2009"	"MARINE ECOLOGY PROGRESS SERIES"	2009	"10.3354/meps08078"
"StudyID_39"	"Wilson et al. 2010"	"ECOLOGICAL APPLICATIONS"	2010	"10.1890/08-2205.1"
"StudyID_40"	"Frangoulis et al. 2010"	"JOURNAL OF PLANKTON RESEARCH"	2010	"10.1093/plankt/fbq010"
"StudyID_41"	"Benavides et al. 2010"	"THALASSAS"	2010	https://rodin.uca.es/bitstream/handle/10498/16703/2010%20-%20Thalassas.pdf?sequence=1&isAllowed=y
"StudyID_42"	"Wang et al. 2010"	"ECOLOGICAL ENGINEERING"	2010	"10.1016/j.ecoleng.2010.02.005"
"StudyID_43"	"Shan et al. 2010"	"CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY"	2010	"10.1007/s00343-010-9102-6"
"StudyID_44"	"D’Onghia et al. 2010"	"DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY"	2010	"10.1016/j.dsr2.2009.08.022"
"StudyID_45"	"Toruan et al. 2012"	"WATER"	2012	"10.3390/w13162305"
"StudyID_46"	"Boldt et al. 2012"	"TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY"	2012	"10.1080/00028487.2012.662205"
"StudyID_47"	"Quiroga et al. 2012"	"JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM"	2012	"10.1017/S0025315411000385"
"StudyID_48"	"Schultes et al. 2012"	"JOURNAL OF MARINE SYSTEMS"	2012	"10.1016/j.jmarsys.2011.11.025"
"StudyID_49"	"Marcolin et al. 2013"	"CONTINENTAL SHELF RESEARCH"	2013	"10.1016/j.csr.2013.09.022"
"StudyID_50"	"Hua et al. 2013"	"MARINE BIOLOGY"	2013	"10.1007/s00227-013-2224-6"
