StudyID	SiteID	GeographicalLatitude	GeographicalLongitude	AverageCoordinates	Hemisphere	Realm	GeographicalTerritory	GeographicalTerritory2	Habitat	HabitatSpecification	Ecosystem	StudyContext	BiologicalOrganisation	SpeciesType	SamplingMethodology									
StudyID_06	SiteID_32	45.27	-72.67	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Acoustic						
StudyID_06	SiteID_33	44.92	-72.17	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Acoustic						
StudyID_06	SiteID_34	45	-72.23	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Acoustic						
StudyID_06	SiteID_35	45.12	-72.28	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Acoustic						
StudyID_06	SiteID_36	45.08	-72.2	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Acoustic						
StudyID_06	SiteID_37	45.16	-72.29	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Acoustic						
StudyID_06	SiteID_38	45.2	-75.22	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Acoustic						
StudyID_06	SiteID_39	45.21	-72.22	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Acoustic						
StudyID_07	SiteID_40	47.62	9.374	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	Seasonality	Foodweb	Bacteria+Zooplankton	Tube	sampler								
StudyID_08	SiteID_41	-57.038	-55.086	No	South	Antarctic	Antarctic	Ocean	Scotia	sea	Marine	Marine	Antarctic	Polar	Front	Natural	habitat	heterogeneity	Foodweb	Zooplankton+Fish	Trawling			
StudyID_08	SiteID_42	-53.225	-38.319	No	South	Antarctic	Antarctic	Ocean	Scotia	sea	Marine	Marine	South	Georgia	Shelf	Break	Natural	habitat	heterogeneity	Foodweb	Zooplankton+Fish	Trawling		
StudyID_09	SiteID_43	37.117	-4.767	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(saline,	shallow)	Seasonality	Community	Zooplankton	Glass	bottles	and	plankton	net			
StudyID_10	SiteID_44	-24	13.25	No	South	Afrotropic	Africa	Namibia	Marine	Marine	Lower	slope	Ecosystem	productivity	Community	Fish	Trawling							
StudyID_10	SiteID_45	-26	13.25	No	South	Afrotropic	Africa	Namibia	Marine	Marine	Northern	shelf	Ecosystem	productivity	Community	Fish	Trawling							
StudyID_10	SiteID_46	-28.5	13.25	No	South	Afrotropic	Africa	Namibia	Marine	Marine	Southern	shelf	Ecosystem	productivity	Community	Fish	Trawling							
StudyID_10	SiteID_47	-26.75	13.25	No	South	Afrotropic	Africa	Namibia	Marine	Marine	Northern	upper	slope	Ecosystem	productivity	Community	Fish	Trawling						
StudyID_10	SiteID_48	-28.75	13.25	No	South	Afrotropic	Africa	Namibia	Marine	Marine	Southern	upper	slope	Ecosystem	productivity	Community	Fish	Trawling						
StudyID_11	SiteID_49	54.686	19.041	No	North	Palearctic	Europe	Baltic	Sea	Marine	Marine	Gulf	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Scuba	diving	and	hand-held	corer		
StudyID_11	SiteID_50	54.749	18.789	No	North	Palearctic	Europe	Baltic	Sea	Marine	Marine	Gulf	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Scuba	diving	and	hand-held	corer		
